,2000,2200,2400,2600,2800,3000,3200,3400,3600,3800,4000,4200,4400,4600,4800,5000,5200,5400,5600,5800,6000,6200,6400,6600,6800,7000,7500,8000
2000,"60 069,52","62 497,76","65 764,12","67 113,35","67 238,84","67 316,70","74 428,31","75 728,99","84 837,43","86 138,11","87 437,88","91 563,42","92 864,10","102 019,26","103 319,94","104 620,62","108 745,25","110 045,93","111 346,61","112 646,38","113 947,06","120 369,86","121 631,16","122 893,37","124 155,58","130 710,28","139 789,41","148 868,53"
2200,"61 786,05","64 550,46","67 814,07","69 230,17","69 385,88","69 490,30","76 967,39","78 333,11","87 507,49","88 873,21","90 239,84","94 730,86","96 096,57","105 317,67","106 683,39","108 050,02","112 541,04","113 906,76","115 273,39","116 639,10","118 004,82","124 662,11","125 987,52","127 312,94","128 639,27","135 257,17","144 526,82","153 796,47"
2400,"67 857,12","70 810,22","73 925,44","75 410,24","75 521,98","75 580,61","83 421,34","84 853,00","94 092,42","95 524,09","96 955,76","101 810,41","103 241,16","112 528,22","113 959,88","115 391,55","120 246,21","121 677,87","123 109,54","124 540,29","125 971,95","132 746,49","134 135,11","135 524,64","136 913,25","143 596,19","153 057,28","162 518,37"
2600,"69 565,41","72 851,01","75 964,40","77 516,97","77 658,03","77 743,22","85 947,59","87 444,29","96 749,66","98 246,36","99 743,98","104 961,36","106 458,98","115 811,06","117 308,68","118 805,38","120 302,97","121 754,77","123 207,45","124 659,25","126 111,94","132 908,03","134 317,18","135 727,22","137 136,37","143 679,24","153 041,30","162 403,36"
2800,"71 272,79","74 891,80","78 003,36","79 623,71","79 794,08","79 905,83","88 472,93","90 036,50","99 406,90","100 969,55","102 532,20","108 113,22","109 675,88","119 093,91","120 656,56","122 219,21","123 967,12","125 482,89","126 998,66","128 514,43","130 030,20","137 052,86","138 524,20","139 994,66","141 466,01","148 071,07","157 617,94","167 164,80"
3000,"72 981,08","76 933,50","80 042,31","81 730,45","81 929,22","82 068,44","90 999,18","92 627,78","102 064,14","103 691,82","105 320,42","111 265,09","112 893,69","122 376,76","124 005,36","125 633,96","127 631,27","129 210,12","130 789,86","132 369,60","133 948,46","141 197,68","142 730,33","144 262,98","145 795,64","152 462,01","162 193,68","171 925,35"
3200,"78 015,26","82 193,02","85 188,25","86 945,09","87 117,29","87 227,21","96 524,33","98 218,88","107 720,27","109 413,91","111 108,46","117 418,60","119 113,15","128 662,17","130 355,80","132 049,43","134 209,68","135 852,50","137 495,33","139 139,04","140 781,86","148 172,36","149 766,32","151 361,16","152 955,12","159 683,68","169 601,05","179 518,42"
3400,"79 722,64","84 233,81","87 227,21","89 051,82","89 253,34","89 389,82","99 050,59","100 810,17","110 377,51","112 137,09","113 896,68","120 570,46","122 330,04","131 945,01","133 704,60","135 463,27","137 873,82","139 580,62","141 287,42","142 993,33","144 700,12","152 317,18","153 973,33","155 629,49","157 284,75","164 075,51","174 177,69","184 279,86"
3600,"90 106,11","94 661,24","97 363,36","99 255,76","99 341,87","99 361,10","109 384,60","111 210,13","120 842,50","122 668,04","124 492,66","131 530,08","133 355,61","143 035,62","144 860,24","146 685,77","149 111,50","150 881,38","152 652,14","154 422,02","156 192,79","163 810,74","165 528,20","167 246,55","168 964,00","175 816,07","186 103,94","196 391,81"
3800,"91 814,40","96 702,95","99 401,40","101 362,50","101 477,92","101 523,71","111 910,85","113 801,42","123 499,74","125 390,31","127 280,88","134 681,94","136 572,51","146 318,46","148 209,03","150 099,60","152 775,64","154 609,50","156 443,35","158 277,20","160 111,05","167 955,56","169 735,22","171 513,98","173 293,63","180 207,89","190 680,57","201 153,25"
4000,"93 521,77","98 743,74","101 440,36","103 469,24","103 613,96","103 686,33","114 437,10","116 392,71","126 156,98","128 113,50","130 070,02","137 833,81","139 790,32","149 601,31","151 557,83","153 513,43","156 439,79","158 337,62","160 234,55","162 132,37","164 030,20","172 099,50","173 941,35","175 782,31","177 623,27","184 598,83","195 256,32","205 913,80"
4200,"95 238,31","100 796,43","103 490,31","105 586,97","105 760,09","105 859,02","116 976,18","118 997,73","128 827,04","130 849,51","132 871,06","141 001,24","143 022,79","152 899,73","154 921,28","156 943,75","160 121,71","162 082,62","164 043,52","166 004,43","167 966,23","176 263,87","178 167,02","180 069,29","181 972,44","189 010,20","199 853,38","210 696,56"
4400,"96 945,68","102 837,22","105 528,35","107 693,71","107 896,14","108 021,63","119 502,43","121 589,02","131 484,28","133 571,78","135 659,28","144 153,10","146 240,61","156 182,58","158 270,08","160 357,58","163 785,86","165 810,74","167 834,73","169 859,61","171 884,48","180 408,69","182 373,15","184 337,61","186 302,07","193 401,14","204 429,13","215 457,11"
4500,"97 799,37","103 857,61","106 547,83","108 747,08","108 964,16","109 103,39","120 764,65","122 885,12","132 813,36","134 932,92","137 053,40","145 728,58","147 849,06","157 824,00","159 944,48","162 064,04","165 617,94","167 673,91","169 730,77","171 787,64","173 843,61","182 480,66","184 476,22","186 471,78","188 467,33","195 597,50","206 718,78","217 840,06"
4600,"107 381,36","113 315,04","115 713,97","117 946,20","118 033,21","118 039,63","129 883,16","132 035,70","141 996,90","144 149,44","146 302,89","155 160,35","157 312,89","167 320,81","169 473,35","171 626,80","175 068,85","177 157,70","179 245,66","181 334,51","183 422,47","191 946,68","193 973,33","195 999,10","198 025,75","205 186,12","216 398,92","227 611,71"
4800,"109 089,65","115 356,74","117 752,01","120 052,93","120 168,35","120 202,24","132 409,41","134 627,90","144 654,14","146 872,63","149 091,12","158 311,30","160 529,79","170 603,66","172 822,15","175 040,63","178 733,88","180 884,93","183 036,86","185 188,79","187 340,72","196 091,50","198 179,46","200 267,42","202 355,38","209 577,95","220 976,44","232 374,93"
5000,"110 797,03","117 397,53","119 790,97","122 159,67","122 304,40","122 364,85","134 935,67","137 219,19","147 311,38","149 595,82","151 879,34","161 463,16","163 747,60","173 886,51","176 170,94","178 454,47","182 398,03","184 613,05","186 828,95","189 043,97","191 259,87","200 235,44","202 385,59","204 535,75","206 685,01","213 969,78","225 553,96","237 138,14"
5500,"123 795,18","130 937,44","133 034,11","135 572,27","135 644,63","135 626,31","149 106,69","151 553,25","161 809,40","164 258,71","166 705,28","177 197,75","179 646,15","189 949,01","192 397,41","194 844,89","199 178,13","201 552,18","203 927,13","206 300,30","208 676,13","217 990,21","220 294,96","222 599,72","224 902,69","232 342,05","244 389,14","256 436,23"
6000,"136 793,70","144 477,36","146 277,25","148 984,86","148 984,86","148 887,77","163 277,71","165 887,31","176 307,42","178 921,61","181 531,22","192 932,34","195 544,69","206 011,52","208 623,87","211 235,31","215 958,23","218 491,32","221 025,31","223 556,63","226 092,39","235 744,99","238 204,34","240 663,69","243 120,37","250 714,33","263 224,33","275 734,32"
,,,,,,,,,,,,,,,,,,,,,3 stojiny,3 stojiny,3 stojiny,3 stojiny,3 stojiny,3 stojiny,3 stojiny,3 stojiny
