,"800,00","900,00","1 000,00","1 100,00","1 200,00","1 300,00","1 400,00","1 500,00","1 600,00","1 700,00","1 800,00","1 900,00","2 000,00","2 100,00","2 200,00","2 300,00","2 400,00","2 500,00","2 600,00","2 700,00","2 800,00","2 900,00","3 000,00","3 100,00","3 200,00","3 300,00","3 400,00","3 500,00","3 600,00","3 700,00","3 800,00","3 900,00","4 000,00","4 100,00","4 200,00","4 300,00","4 400,00","4 500,00","4 600,00","4 700,00","4 800,00","4 900,00","5 000,00","5 100,00","5 200,00","5 300,00","5 400,00","5 500,00","5 600,00","5 700,00","5 800,00","5 900,00"
"800,00","14 513,00","14 976,00","15 440,00","15 904,00","16 368,00","16 832,00","17 296,00","17 760,00","18 224,00","18 688,00","19 151,00","19 615,00","20 079,00","20 474,00","20 869,00","21 264,00","21 658,00","22 053,00","22 448,00","22 843,00","23 238,00","23 632,00","24 027,00","24 422,00","24 817,00","25 212,00","25 605,00","26 000,00","26 395,00","26 790,00","27 185,00","27 579,00","27 974,00","28 369,00","28 764,00","29 159,00","29 553,00","29 948,00","30 343,00","30 738,00","31 133,00","31 527,00","31 922,00","35 601,00","35 993,00","36 384,00","36 775,00","37 166,00","37 557,00","37 948,00","38 340,00","38 730,00"
"900,00","14 783,00","15 260,00","15 737,00","16 214,00","16 691,00","17 168,00","17 644,00","18 121,00","18 598,00","19 074,00","19 551,00","20 028,00","20 505,00","20 913,00","21 320,00","21 728,00","22 136,00","22 544,00","22 951,00","23 359,00","23 767,00","24 174,00","24 583,00","24 990,00","25 397,00","25 806,00","26 213,00","26 621,00","27 028,00","27 437,00","27 844,00","28 251,00","28 660,00","29 067,00","29 475,00","29 883,00","30 290,00","30 698,00","31 106,00","31 514,00","31 921,00","32 328,00","32 737,00","36 345,00","36 748,00","37 150,00","37 552,00","37 954,00","38 357,00","38 759,00","39 162,00","39 564,00"
"1 000,00","15 054,00","15 543,00","16 034,00","16 523,00","17 013,00","17 502,00","17 993,00","18 482,00","18 972,00","19 462,00","19 951,00","20 441,00","20 931,00","21 352,00","21 773,00","22 193,00","22 614,00","23 034,00","23 455,00","23 876,00","24 296,00","24 717,00","25 138,00","25 558,00","25 979,00","26 400,00","26 820,00","27 241,00","27 662,00","28 082,00","28 503,00","28 923,00","29 344,00","29 765,00","30 185,00","30 606,00","31 028,00","31 448,00","31 869,00","32 290,00","32 710,00","33 131,00","33 551,00","37 088,00","37 502,00","37 916,00","38 329,00","38 743,00","39 157,00","39 569,00","39 983,00","40 397,00"
"1 100,00","15 325,00","15 827,00","16 330,00","16 833,00","17 336,00","17 838,00","18 340,00","18 843,00","19 346,00","19 849,00","20 351,00","20 854,00","21 357,00","21 791,00","22 224,00","22 658,00","23 092,00","23 525,00","23 959,00","24 393,00","24 826,00","25 260,00","25 694,00","26 127,00","26 561,00","26 994,00","27 428,00","27 862,00","28 295,00","28 729,00","29 162,00","29 595,00","30 029,00","30 463,00","30 896,00","31 330,00","31 764,00","32 197,00","32 631,00","33 065,00","33 498,00","33 932,00","34 365,00","37 832,00","38 257,00","38 681,00","39 106,00","39 530,00","39 956,00","40 381,00","40 805,00","41 230,00"
"1 200,00","15 595,00","16 111,00","16 627,00","17 142,00","17 658,00","18 173,00","18 689,00","19 205,00","19 720,00","20 236,00","20 751,00","21 268,00","21 783,00","22 230,00","22 676,00","23 123,00","23 569,00","24 016,00","24 462,00","24 909,00","25 355,00","25 802,00","26 249,00","26 695,00","27 141,00","27 589,00","28 035,00","28 481,00","28 929,00","29 375,00","29 821,00","30 267,00","30 715,00","31 161,00","31 607,00","32 054,00","32 501,00","32 947,00","33 394,00","33 840,00","34 287,00","34 734,00","35 180,00","38 575,00","39 011,00","39 447,00","39 883,00","40 319,00","40 755,00","41 192,00","41 627,00","42 063,00"
"1 300,00","15 866,00","16 395,00","16 923,00","17 451,00","17 980,00","18 508,00","19 038,00","19 566,00","20 095,00","20 623,00","21 151,00","21 680,00","22 209,00","22 668,00","23 128,00","23 587,00","24 047,00","24 507,00","24 966,00","25 426,00","25 885,00","26 345,00","26 804,00","27 263,00","27 723,00","28 183,00","28 642,00","29 102,00","29 562,00","30 021,00","30 480,00","30 940,00","31 399,00","31 859,00","32 318,00","32 778,00","33 238,00","33 697,00","34 157,00","34 616,00","35 075,00","35 535,00","35 995,00","39 318,00","39 766,00","40 213,00","40 660,00","41 108,00","41 555,00","42 002,00","42 449,00","42 897,00"
"1 400,00","16 136,00","16 678,00","17 219,00","17 761,00","18 303,00","18 844,00","19 385,00","19 927,00","20 469,00","21 011,00","21 552,00","22 093,00","22 635,00","23 107,00","23 580,00","24 052,00","24 525,00","24 997,00","25 470,00","25 942,00","26 415,00","26 887,00","27 360,00","27 832,00","28 305,00","28 777,00","29 250,00","29 722,00","30 195,00","30 667,00","31 140,00","31 612,00","32 085,00","32 557,00","33 029,00","33 501,00","33 974,00","34 446,00","34 919,00","35 391,00","35 864,00","36 336,00","36 809,00","40 062,00","40 520,00","40 978,00","41 437,00","41 896,00","42 354,00","42 813,00","43 272,00","43 729,00"
"1 500,00","16 407,00","16 962,00","17 516,00","18 071,00","18 625,00","19 179,00","19 734,00","20 288,00","20 843,00","21 397,00","21 952,00","22 507,00","23 061,00","23 546,00","24 031,00","24 518,00","25 003,00","25 488,00","25 974,00","26 459,00","26 944,00","27 430,00","27 915,00","28 400,00","28 886,00","29 372,00","29 857,00","30 342,00","30 828,00","31 313,00","31 798,00","32 284,00","32 769,00","33 255,00","33 741,00","34 226,00","34 711,00","35 196,00","35 682,00","36 167,00","36 652,00","37 139,00","37 624,00","40 805,00","41 274,00","41 745,00","42 214,00","42 684,00","43 154,00","43 623,00","44 094,00","44 563,00"
"1 600,00","16 677,00","17 245,00","17 812,00","18 380,00","18 947,00","19 514,00","20 082,00","20 649,00","21 217,00","21 784,00","22 352,00","22 919,00","23 486,00","23 985,00","24 484,00","24 982,00","25 480,00","25 979,00","26 477,00","26 976,00","27 474,00","27 972,00","28 471,00","28 970,00","29 467,00","29 966,00","30 464,00","30 962,00","31 461,00","31 959,00","32 458,00","32 956,00","33 454,00","33 953,00","34 452,00","34 949,00","35 448,00","35 946,00","36 444,00","36 943,00","37 441,00","37 940,00","38 438,00","41 549,00","42 029,00","42 510,00","42 991,00","43 472,00","43 953,00","44 434,00","44 915,00","45 397,00"
"1 700,00","16 948,00","17 529,00","18 108,00","18 689,00","19 270,00","19 850,00","20 431,00","21 011,00","21 591,00","22 172,00","22 752,00","23 332,00","23 913,00","24 424,00","24 935,00","25 447,00","25 958,00","26 469,00","26 981,00","27 492,00","28 004,00","28 515,00","29 026,00","29 538,00","30 049,00","30 560,00","31 072,00","31 583,00","32 094,00","32 606,00","33 117,00","33 628,00","34 140,00","34 651,00","35 162,00","35 674,00","36 185,00","36 696,00","37 207,00","37 718,00","38 229,00","38 741,00","39 252,00","42 291,00","42 783,00","43 276,00","43 768,00","44 261,00","44 753,00","45 245,00","45 737,00","46 229,00"
